,receiver_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
752,R.Gronkowski,1,21,20.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
756,J.Akins,0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
757,R.Griffin,0,0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0
759,J.Develin,0,5,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
760,C.Patterson,0,6,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
762,J.Develin,0,4,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
763,J.White,0,0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0
765,J.Thomas,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
768,D.Hopkins,0,0,40.0,,0.0,0.0,0.0,0.0,0.0,0.0
770,B.Ellington,0,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0
775,J.White,0,0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0
776,S.Coates,0,0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
781,P.Dorsett,0,10,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
782,J.Hill,0,6,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
784,C.Hogan,0,11,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
785,J.White,0,0,-3.0,,0.0,0.0,0.0,0.0,0.0,0.0
788,R.Burkhead,0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
792,J.White,1,12,4.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0
796,J.Thomas,0,27,22.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
797,D.Hopkins,0,0,20.0,,0.0,0.0,0.0,0.0,0.0,0.0
798,D.Hopkins,0,9,-1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
802,R.Griffin,0,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0
805,R.McCarron,0,0,27.0,,0.0,0.0,0.0,0.0,0.0,0.0
806,J.White,0,5,-2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
807,R.Gronkowski,0,7,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
