rusher_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
A.Kamara,1,1,,,1.0,0.0,0.0,1.0,0.0,1.0
A.Kamara,1,2,,,0.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,-4,,,0.0,0.0,0.0,0.0,0.0,0.0
P.Barber,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Fitzpatrick,0,12,,,1.0,0.0,0.0,0.0,0.0,0.0
R.Fitzpatrick,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Fitzpatrick,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Fitzpatrick,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
J.White,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
J.White,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Watson,0,0,,,0.0,0.0,1.0,0.0,0.0,0.0
C.Patterson,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,31,,,1.0,0.0,0.0,0.0,0.0,0.0
D.Watson,0,13,,,1.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
