,rusher_player_name,receiver_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
273,,M.Crabtree,0,20,16.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
274,,,0,0,,,,,,,,
275,,J.Allen,0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,,W.Snead,0,20,10.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
277,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
278,,J.Allen,0,-4,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
279,,J.Brown,0,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,,W.Snead,0,12,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
281,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
282,,M.Andrews,0,8,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
283,,M.Crabtree,1,12,12.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
284,,J.Brown,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
285,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
286,,J.Croom,0,8,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
287,,,0,0,,,,,,,,
288,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
289,L.McCoy,,0,12,,,1.0,0.0,0.0,0.0,0.0,0.0
290,L.McCoy,,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
291,,Z.Jones,0,0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0
292,,J.Croom,0,0,21.0,,0.0,0.0,0.0,0.0,0.0,0.0
293,C.Bojorquez,,0,0,,,0.0,0.0,1.0,0.0,0.0,0.0
294,,A.Collins,0,6,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
295,A.Collins,,0,5,,,1.0,0.0,0.0,0.0,0.0,0.0
296,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
297,,W.Snead,1,13,6.0,7.0,0.0,1.0,0.0,1.0,1.0,0.0
298,,,1,0,,,0.0,0.0,0.0,0.0,0.0,0.0
299,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
300,,C.Clay,0,0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0
301,,L.McCoy,0,-1,-5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
302,,K.Benjamin,0,0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0
303,J.Allen,,1,1,,,1.0,0.0,0.0,1.0,0.0,1.0
304,,,1,0,,,0.0,0.0,0.0,0.0,0.0,0.0
305,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
306,M.Murphy,,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
307,,Z.Jones,0,0,17.0,,0.0,0.0,0.0,0.0,0.0,0.0
308,,,0,-4,,,0.0,0.0,0.0,0.0,0.0,0.0
309,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
310,K.Dixon,,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
311,L.Jackson,,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
312,,,0,-8,,,0.0,0.0,0.0,0.0,0.0,0.0
313,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
314,J.Allen,,0,11,,,1.0,0.0,0.0,0.0,0.0,0.0
315,J.Allen,,0,14,,,1.0,0.0,0.0,0.0,0.0,0.0
316,,C.Clay,0,0,23.0,,0.0,0.0,0.0,0.0,0.0,0.0
317,C.Ivory,,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
318,,A.Holmes,0,14,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
319,C.Ivory,,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
320,J.Allen,,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
321,L.McCoy,,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
322,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
323,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
324,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
325,J.Allen,,0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0
326,,K.Benjamin,0,0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0
327,,,0,-12,,,0.0,0.0,0.0,0.0,0.0,0.0
328,,,1,0,,,0.0,0.0,0.0,0.0,0.0,0.0
329,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
330,K.Dixon,,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
331,K.Dixon,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
332,L.Jackson,,0,7,,,1.0,0.0,0.0,0.0,0.0,0.0
333,K.Dixon,,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
334,,,0,0,,,,,,,,
335,,,0,0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0
336,,M.Andrews,0,0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0
337,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
338,,M.Murphy,0,0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,,,0,0,17.0,,0.0,0.0,0.0,0.0,0.0,0.0
340,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
341,,L.Thomas,0,24,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
342,,Z.Jones,0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
343,M.Murphy,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
344,,L.Thomas,0,0,15.0,,0.0,0.0,0.0,0.0,0.0,0.0
345,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
346,K.Dixon,,0,15,,,1.0,0.0,0.0,0.0,0.0,0.0
347,K.Dixon,,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
348,L.Jackson,,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
