,rusher_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
856,L.Miller,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
859,R.Burkhead,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
860,R.Burkhead,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
863,J.White,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
866,R.Burkhead,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
871,A.Blue,0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0
873,A.Blue,0,17,,,1.0,0.0,0.0,0.0,0.0,0.0
874,A.Blue,0,11,,,1.0,0.0,0.0,0.0,0.0,0.0
875,L.Miller,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
876,L.Miller,0,6,,,1.0,0.0,0.0,0.0,0.0,0.0
877,L.Miller,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
881,A.Blue,1,1,,,1.0,0.0,0.0,1.0,0.0,1.0
884,R.Burkhead,0,12,,,1.0,0.0,0.0,0.0,0.0,0.0
890,R.Burkhead,0,4,,,1.0,0.0,0.0,0.0,0.0,0.0
891,R.Burkhead,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
894,J.White,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
897,C.Patterson,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
901,L.Miller,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
906,R.Burkhead,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
908,J.White,0,11,,,0.0,0.0,0.0,0.0,0.0,0.0
911,L.Miller,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
914,L.Miller,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
915,D.Watson,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
917,D.Watson,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
920,D.Watson,0,-4,,,0.0,0.0,0.0,0.0,0.0,0.0
924,R.Burkhead,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
928,R.Burkhead,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
930,R.Burkhead,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
932,R.Burkhead,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
939,D.Watson,0,13,,,1.0,0.0,0.0,0.0,0.0,0.0
944,D.Cook,0,2,,,1.0,0.0,0.0,0.0,0.0,0.0
946,D.Cook,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
947,K.Cousins,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
950,D.Cook,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
956,M.Breida,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
957,M.Breida,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
960,D.Cook,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
963,K.Cousins,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
964,D.Cook,0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0
970,A.Morris,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
971,M.Breida,0,9,,,0.0,0.0,0.0,0.0,0.0,0.0
973,L.Murray,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
974,L.Murray,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
978,L.Murray,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
986,M.Breida,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
992,S.Diggs,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
993,D.Cook,0,15,,,0.0,0.0,1.0,0.0,0.0,0.0
994,A.Morris,0,14,,,1.0,0.0,0.0,0.0,0.0,0.0
995,A.Morris,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
996,A.Morris,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
1000,M.Breida,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
1003,A.Morris,0,11,,,1.0,0.0,0.0,0.0,0.0,0.0
1006,A.Morris,0,1,,,1.0,0.0,0.0,0.0,0.0,0.0
1008,A.Morris,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
1010,A.Morris,0,0,,,0.0,0.0,1.0,0.0,0.0,0.0
1011,A.Morris,0,-1,,,0.0,0.0,1.0,0.0,0.0,0.0
1012,L.Murray,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
1018,K.Cousins,0,13,,,1.0,0.0,0.0,0.0,0.0,0.0
1032,M.Breida,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
1037,D.Cook,0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0
1042,A.Morris,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
1047,J.Garoppolo,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
1055,D.Cook,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
1057,D.Cook,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
1058,D.Cook,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
1060,D.Cook,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
1065,M.Breida,0,11,,,1.0,0.0,0.0,0.0,0.0,0.0
1067,M.Breida,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
1068,M.Breida,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
1069,J.Garoppolo,0,2,,,1.0,0.0,0.0,0.0,0.0,0.0
1075,L.Murray,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
1080,D.Cook,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
1084,M.Breida,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
1087,A.Morris,0,-5,,,0.0,0.0,0.0,0.0,0.0,0.0
1090,M.Breida,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
1092,A.Morris,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
1097,D.Cook,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
1105,L.Murray,0,9,,,0.0,0.0,0.0,0.0,0.0,0.0
1106,L.Murray,0,5,,,1.0,0.0,0.0,0.0,0.0,0.0
1107,L.Murray,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
1108,D.Cook,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
1109,K.Cousins,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
1112,D.Cook,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
1113,D.Cook,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
1119,L.Murray,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
1121,L.Murray,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
1122,L.Murray,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
1126,D.Henry,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
1128,D.Henry,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
1129,D.Henry,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
1131,D.Henry,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
1136,K.Drake,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
1139,K.Drake,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
1145,D.Henry,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
1147,M.Mariota,0,7,,,1.0,0.0,0.0,0.0,0.0,0.0
1149,D.Henry,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
1151,D.Henry,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
1156,K.Drake,0,6,,,1.0,0.0,0.0,0.0,0.0,0.0
1163,F.Gore,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
1165,F.Gore,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
1166,A.Wilson,0,5,,,1.0,0.0,0.0,0.0,0.0,0.0
1168,F.Gore,0,21,,,1.0,0.0,0.0,0.0,0.0,0.0
